Staff,Floor Space,Window,Car park,Demographic score,Location,40min population,30 min population,20 min population,10 min population,Store age,Clearance space,Competition number,Competition score,Profit,Performance
9,18526,121,Yes,10,Retail Park,1288374,1138224,1006986,1002340,3,238,16,16,3410865,Good
8,18569,121,Yes,11,Shopping Centre,1086225,1015321,1012182,1008436,4,384,15,19,4034051,Excellent
2,12288,105,No,12,Retail Park,1595638,1281661,1104490,1011395,11,219,13,18,2297810,Poor
7,17092,117,No,14,High Street,1179395,1022959,1009496,1002169,5,261,15,12,2398990,Poor
7,11307,103,No,18,Retail Park,1398558,1085170,1003137,1002513,7,200,19,13,2288235,Poor
7,17888,119,Yes,19,Retail Park,1614716,1325848,1220059,1193318,2,394,17,11,3058134,Good
8,13814,109,Yes,17,High Street,1323396,1047485,1000888,1000844,5,228,11,14,2793160,Reasonable
9,15643,114,Yes,11,Retail Park,1052606,1025407,1004490,1000319,4,258,12,16,3345936,Good
9,13869,109,Yes,12,Shopping Centre,1537032,1301956,1220364,1057921,9,217,19,14,3117205,Good
7,12071,105,Yes,19,High Street,1141000,1029186,1005096,1000687,6,222,16,18,3153278,Good
9,13487,108,Yes,15,Retail Park,1066359,1032143,1012703,1001537,10,246,15,13,3056804,Good
8,11071,102,No,12,Retail Park,1514670,1400857,1319646,1010879,11,202,15,10,1801619,Poor
8,18923,122,Yes,18,Shopping Centre,1270676,1175257,1032335,1020164,9,237,10,17,3797953,Excellent
8,13827,109,Yes,12,Retail Park,1132725,1102537,1058262,1012348,7,242,19,13,3138911,Good
5,14588,111,Yes,17,High Street,1242546,1053056,1047783,1007899,10,261,11,19,2724068,Reasonable
6,11824,104,Yes,14,High Street,1043277,1004546,1001718,1000627,6,225,11,19,2382751,Poor
8,14291,110,Yes,18,High Street,1395395,1010441,1005783,1004909,2,272,16,11,3321899,Good
6,10911,102,Yes,10,Retail Park,1392302,1113062,1097869,1030824,2,203,10,18,2803867,Reasonable
9,15219,113,Yes,15,Shopping Centre,1973493,1929089,1429238,1426533,6,324,12,13,3640627,Excellent
9,12128,105,No,14,Shopping Centre,1634545,1482561,1353056,1296149,5,249,11,18,3075352,Good
6,18686,121,Yes,12,Shopping Centre,1721811,1279394,1212956,1036456,4,346,11,16,3491993,Good
7,19025,122,Yes,11,High Street,1817320,1735622,1723395,1272149,11,223,10,17,3252148,Good
7,18535,121,No,13,High Street,1182360,1077124,1049837,1014968,9,266,11,18,3041618,Good
6,16219,115,Yes,13,Shopping Centre,1759951,1635794,1232915,1158507,5,273,16,18,3737466,Excellent
9,19337,123,Yes,16,High Street,1137206,1066238,1049975,1041967,5,293,17,19,4217291,Excellent
5,12234,105,No,14,Retail Park,1765398,1555157,1053211,1015616,7,234,11,16,2008363,Poor
7,13810,109,Yes,14,High Street,1392247,1077683,1068892,1045144,5,270,13,17,3516397,Excellent
6,19000,122,Yes,14,Shopping Centre,1546802,1447179,1074217,1006703,5,206,16,18,3957233,Excellent
5,16736,116,Yes,10,High Street,1474310,1366274,1003031,1002039,6,237,18,10,2942839,Reasonable
9,12959,107,No,17,High Street,1575328,1245626,1210849,1099580,11,241,11,13,2242288,Poor
6,16607,116,Yes,15,Retail Park,1956875,1461685,1405893,1184961,2,233,14,16,2616387,Reasonable
7,18284,120,No,10,Shopping Centre,1879248,1692035,1006608,1005623,8,207,17,16,2493975,Poor
6,18399,120,Yes,15,High Street,1101114,1087742,1063778,1018675,10,408,12,15,2203994,Poor
8,18077,120,Yes,16,High Street,1518005,1057762,1010136,1008599,9,281,10,11,2458785,Poor
8,19093,122,Yes,17,Retail Park,1609510,1549228,1427320,1027983,11,232,12,16,4253984,Excellent
9,16915,117,Yes,13,High Street,1697206,1222492,1162941,1018063,4,368,10,18,4185306,Excellent
9,14605,111,Yes,10,Retail Park,1486821,1053920,1002953,1000801,9,305,17,19,4160531,Excellent
7,11834,104,No,12,Retail Park,1555172,1489253,1120444,1093443,8,219,19,16,3100521,Good
6,15041,112,Yes,17,Shopping Centre,1408324,1372550,1249482,1102259,6,267,17,13,3246954,Good
5,13127,107,No,16,High Street,1171849,1084983,1006564,1003013,7,235,19,10,2085733,Poor
9,17586,118,Yes,18,Shopping Centre,1661094,1388562,1179306,1083011,5,264,10,10,3741911,Excellent
9,12075,105,Yes,10,High Street,1987353,1812472,1105847,1090676,7,227,14,13,2506748,Reasonable
7,11441,103,No,13,Shopping Centre,1772431,1331168,1140500,1051557,11,207,10,13,2393869,Poor
8,17006,117,Yes,10,Retail Park,1722997,1138993,1118970,1087986,10,323,15,19,4137224,Excellent
9,12913,107,Yes,11,Retail Park,1845352,1142379,1135291,1123134,2,223,16,16,3572475,Excellent
9,14948,112,No,15,High Street,1892976,1100161,1053955,1005729,4,263,19,17,3121837,Good
5,11572,103,Yes,12,High Street,1518361,1004958,1002835,1001393,3,209,14,17,2799074,Reasonable
5,11038,102,Yes,14,Shopping Centre,1337148,1306856,1078736,1056905,8,202,13,12,2707402,Reasonable
5,18143,120,Yes,12,Shopping Centre,1337555,1094390,1092683,1069579,8,355,16,19,4176642,Excellent
7,14359,110,No,15,Retail Park,1318997,1210225,1005431,1001776,6,285,15,10,1829621,Poor
9,13289,108,Yes,19,Retail Park,1239852,1055619,1000653,1000359,8,272,11,11,2681110,Reasonable
9,10774,101,Yes,17,Shopping Centre,1438538,1264765,1226241,1162342,8,217,13,10,2411437,Poor
7,13637,109,Yes,16,Retail Park,1775854,1347098,1232542,1103495,9,208,19,17,4300537,Excellent
5,10944,102,Yes,10,Shopping Centre,1451335,1339685,1162571,1103072,3,204,13,14,2234201,Poor
8,11538,103,No,10,Retail Park,1806266,1296257,1022238,1001346,7,228,12,15,2342229,Poor
